epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.71442,2.00843,6.38527,2.01606,0.10574,0.33333,0.11325,0.03294,2.15582,10.0371,3.0318,0.00012,0.00012,0.00012
2,8.59652,2.01978,5.99064,1.97695,0.52541,0.58333,0.45534,0.19426,2.17571,10.1713,2.28449,0.00025571,0.00025571,0.00025571
3,12.5585,1.89924,3.79455,1.86717,0.43826,0.32591,0.4449,0.16346,1.99565,6.69208,2.15753,0.0003868,0.0003868,0.0003868
4,15.2837,1.76183,2.66989,1.72157,0.06778,0.08333,0.06078,0.01386,2.39336,12.9185,2.59896,0.00051327,0.00051327,0.00051327
5,18.0278,1.65599,2.17963,1.71274,0.1675,0.33333,0.27886,0.08502,2.00576,6.78705,2.90607,0.00063512,0.00063512,0.00063512
6,20.664,1.9078,2.02682,1.93241,0.29526,0.66667,0.29346,0.0832,2.34953,6.49104,3.11753,0.00075235,0.00075235,0.00075235
7,23.8472,1.92837,1.9759,1.83399,0.66599,0.33248,0.40455,0.07328,2.55498,2.73424,3.76878,0.00086496,0.00086496,0.00086496
8,27.0896,1.85035,1.90359,1.74821,0.03997,0.16667,0.01229,0.00243,3.65129,3.43814,5.06438,0.00097295,0.00097295,0.00097295
9,29.6753,1.93371,1.72374,1.80396,0.01271,0.16667,0.00581,0.00123,3.67324,10.2637,14.8507,0.00107632,0.00107632,0.00107632
10,32.406,1.96701,1.79403,1.89547,0.04545,0.08333,0.02326,0.00509,3.79824,108.174,22.9261,0.00117507,0.00117507,0.00117507
11,35.0606,1.89995,1.58033,1.74103,0.00268,0.25,0.00181,0.0003,4.6261,457.441,49.1418,0.0012692,0.0012692,0.0012692
12,38.6528,1.86526,1.45103,1.71731,0.00041,0.08333,0.00024,0.00015,4.75719,27.5399,60.8263,0.00135871,0.00135871,0.00135871
13,41.2119,1.88951,1.57515,1.80943,0,0,0,0,4.50735,8.89772,30.6119,0.0014436,0.0014436,0.0014436
14,43.9375,1.78662,1.4284,1.7103,0.03411,0.16667,0.01466,0.00312,3.51802,6.16751,11.8794,0.00152387,0.00152387,0.00152387
15,46.4596,1.87781,1.45575,1.74833,0,0,0,0,nan,nan,nan,0.001538,0.001538,0.001538
16,49.1998,1.81839,1.35852,1.71502,0,0,0,0,nan,nan,nan,0.001505,0.001505,0.001505
